TRULY Unique ID,EASYPROD - UniquID,EASYPROD - Appt ID,NEW OCCUPANCY UNIT,NEW OCCUPANCY ADRESSS,ASSAF UNIT,Assaf Address,ZEHAVIT yechida,zehavit address,zehavit alternative address,RICKI APT ,ricki insurance,CONTROLSHEET
03E,1815,U061,61,גוש עציון 81/2,61,גוש עציון 81/2,61,גוש עציון 81/2,"גוש עציון 81/14
פזגז: גוש עציון 81/15",61,גוש עציון 81/2,61
03F,2610,U062,62,חנה סנש 14/10,62,חנה סנש 14/10,62,חנה סנש 43022,X,62,חנה סנש 14/10,62
040,2009,U063,63,חנה סנש 18/1 ב',63,חנה סנש 18/1ב,63,חנה סנש 18/1ב',"רזיאל 3/9 ב
חנה סנש 18/9",63,חנה סנש 18/1 ב',63
041,3232,U064,64,חנה סנש 10/2,64,חנה סנש 10/2,64,חנה סנש 42776,חנה סנש 32\10,64,חנה סנש 10/2,64
042,2002,U065,65,חנה סנש 18/2 א',65,רזיאל 2/1,65,חנה סנש 18/2 א',רזיאל 1/2 ,65,חנה סנש 18/2 א',65
043,2025,U066,66,חנה סנש 18/2 ד',66,חנה סנש 18/2,66,חנה סנש 18/2 ד',"רזיאל 7/25
חנה סנש 18/25 ד",66,חנה סנש 18/2 ד',66
044,1856,U067,67,גוש עציון 95/1,67,גוש עציון 95/1,67,גוש עציון 95/1,גוש עציון 95/55,67,גוש עציון 95/1,67
045,1413,U068,68,רוטנברג 6/13,68,רוטנברג 6/13,68,רוטנברג 6/13,X,68,רוטנברג 6/13,68
046,2646,U069,69,חנה סנש 14/46,69,חנה סנש 14/46,69,חנה סנש 14/46,X,69,חנה סנש 14/46,69
047,0454,U070,70,רוטנברג 16/12,70,רוטנברג 16/12,70,רוטנברג 43085,רוטנברג 16/54,70,רוטנברג 16/12,70
048,1850,U071,71,גוש עציון 93/1,71,גוש עציון 93/50,71,גוש עציון 93/1,"גוש עציון 93/49
 בחברת חשמל",71,גוש עציון 93/1,71
049,1851,U072,72,גוש עציון 93/2,72,גוש עציון 93/51,72,גוש עציון 93/2,גוש עציון 93/51,72,גוש עציון 93/2,72
04A,2059,U073,73,רזיאל 15/59,73,רזיאל 15/59,73,חנה סנש 42873,"רזיאל 15/5
חנה סנש 18/59",73,רזיאל 15/59,73
04B,1826,U074,74,גוש עציון 85/01,74,גוש עציון 85/1,74,גוש עציון 85/1,"גוש עציון 85/3
גוש עציון 83/25 
(רשויות)",74,גוש עציון 85/01,74
04C,0414,U075,75,רוטנברג 22/14,75,רוטנברג 22/14,75,רוטנברג  22/14,X,75,רוטנברג 22/14,75
04D,0427,U076,76,רוטנברג 20/27,76,רוטנברג 20/27,76,רוטנברג 20/27,רוטנברג 20/13,76,רוטנברג 20/27,76
04E,1858,U077,77,גוש עציון 95/57,77,גוש עציון 95/57,77,גוש עציון 95/57,גוש עציון 95/3,77,גוש עציון 95/57,77
04F,1816,U078,78,גוש עציון 81/03,78,גוש עציון 81/3,78,גוש עציון 81/3 ג',"גוש עציון 81/15 
חברת חשמל",78,גוש עציון 81/03,78
050,0953,U079,79,רוטנברג 08/11,79,רוטנברג 8/11,79,רוטנברג 8/11 ד',רוטנברג 8/53,79,רוטנברג 08/11,79
051,2052,U080,80,רזיאל  13/06,80,רזיאל 13/6,80,חנה סנש 18/6 ז',"רזיאל 13/52
חנה סנש 52\18",80,רזיאל  13/06,80
052,2031,U081,81,חנה סנש 18/31,81,חנה סנש 18/31,81,חנה סנש 18/31,"חנה סנש 18/1 ה' בארנונה
בגז רזיאל 9/31",81,חנה סנש 18/31,81
053,0417,U082,82,רוטנברג 20/17,82,רוטנברג 20/17,82,רוטנברג 43544,בחשמל רוטנברג 20/17,82,רוטנברג 20/17,82
054,0424,U083,83,רוטנברג 20/10,83,רוטנברג 20/10,83,רוטנברג 43758,רוטנברג 20/24,83,רוטנברג 20/10,83
055,1309,U084,84,בן גוריון 16/09,84,בן גוריון 16/9,84,בן גוריון 43724,,84,בן גוריון 16/09,84
056,0905,U085,85,רוטנברג 14/05,85,רוטנברג 14/5,85,רוטנברג 43599,,85,רוטנברג 14/05,85
057,3006,U086,86,וינגייט 04/05,86,וינגיט 4/5,86,וינגייט 43589,"השלום 125/6
בחשמל",86,וינגייט 04/05,86
058,1922,U087,87,גוש עציון 97/22,87,גוש עציון 97/22,87,גוש עציון 97/22,"בחשמל ג""ע 
99/22",87,גוש עציון 97/22,87
059,2118,U088,88A,השלום 133/1,88A,השלום 133/1,88A,השלום 133/1,השלום 133/18 במי שבע,88,השלום 133/1,88
05A,,,88B,השלום 133/1,88B,השלום 133/2,88B,השלום 133/1,השלום 133/18 במי שבע,, ,
05B,2102,U089,89A,השלום 135/2,89 A,השלום 135/1,89A,השלום 135/2,X,89,השלום 135/2,89
05C,,,89B,השלום 135/2,89 B,השלום 135/1,89B,השלום 135/2,X,, ,
05D,0935,U090,90,רוטנברג 10/35,90,רוטנברג 10/35,90,רוטנברג 44022,רוטנברג 10/35,90,רוטנברג 10/35,90
